edad,ingresos,frecuencia_uso,satisfaccion,antiguedad_meses,indice_valor,nivel_riesgo,segmento_edad,desercion,ingresos_normalizado,indice_valor_normalizado
38,2444.93,22,2,86,28.102643678160916,Alto,Adulto,1,0.414102121897316,0.0102283579151671
27,3379.26,10,5,28,116.52620689655173,Bajo,Joven,0,0.6130337212619817,0.0480136487473647
21,3147.56,9,4,71,43.71611111111111,Bajo,Joven,1,0.5637016313442942,0.01690032844406302
31,3067.26,27,4,95,31.950625000000002,Bajo,Adulto,0,0.5466046662152898,0.011872683116170915
22,2182.71,23,3,56,38.293157894736844,Bajo,Joven,0,0.358271907748779,0.014582983869924833
53,1525.73,4,3,106,14.259158878504673,Alto,Mayor,0,0.21839190587513893,0.00431273904337157
34,2321.41,17,3,44,51.586888888888886,Bajo,Adulto,0,0.387803029335241,0.020263681113694823
25,2352.65,5,2,2,784.2166666666667,Alto,Joven,1,0.39445445138542906,0.33333214632913016
32,1623.81,28,1,2,541.27,Alto,Adulto,1,0.23927447548725286,0.22951580911548009
26,2537.88,6,2,78,32.12506329113924,Alto,Joven,1,0.43389244454664305,0.011947224350691047
56,1999.22,7,2,94,21.04442105263158,Alto,Mayor,0,0.3192043843176331,0.007212227542708255
56,1107.52,27,1,94,11.658105263157895,Alto,Mayor,1,0.12934929333963557,0.0032012528766890676
22,3541.34,30,5,29,118.04466666666667,Bajo,Joven,0,0.6475427637041864,0.04866251927398075
29,2342.01,22,2,107,21.68527777777778,Alto,Joven,1,0.3921890502774265,0.007486079408207186
41,1241.83,26,3,23,51.742916666666666,Bajo,Adulto,1,0.15794572405540863,0.02033035513978755
41,2904.99,5,5,79,36.312374999999996,Alto,Adulto,1,0.5120551701818709,0.013736552726133203
22,2917.63,20,4,43,66.30977272727273,Bajo,Joven,0,0.5147463985658138,0.02655508611337811
33,2544.31,26,2,57,43.867413793103445,Alto,Adulto,1,0.43526147923879116,0.016964983335074953
50,2369.82,23,1,9,236.98200000000003,Alto,Mayor,1,0.39811017854937686,0.09948700052346887
43,1378.7,25,1,77,17.675641025641028,Alto,Adulto,0,0.18708721368438536,0.005772675364120388
59,1493.16,2,3,32,45.24727272727273,Alto,Mayor,1,0.21145730868645063,0.01755462674275148
48,2455.71,23,5,21,111.62318181818182,Bajo,Adulto,1,0.41639733091463443,0.04591848065188544
18,2344.82,1,1,45,50.97434782608696,Alto,Joven,0,0.3927873376001227,0.020001929139874565
58,3767.84,5,5,38,96.61128205128206,Alto,Mayor,1,0.6957677027044291,0.039503572928305586
46,2283.73,24,5,50,44.77901960784314,Bajo,Adulto,0,0.3797804434565252,0.01735453211122174
43,1894.52,24,5,73,25.60162162162162,Bajo,Adulto,0,0.29691232642215665,0.009159617385556514
56,1556.68,15,5,31,48.64625,Bajo,Mayor,1,0.2249815829703156,0.019007082854080388
27,1688.21,29,4,113,14.808859649122807,Bajo,Joven,1,0.2529861137725316,0.004547638008449346
61,3178.14,2,5,39,79.45349999999999,Alto,Mayor,1,0.5702125303934218,0.03217168353993141
39,3011.19,14,1,6,430.17,Alto,Adulto,0,0.5346665985343025,0.18204038900501746
44,2814.35,22,5,59,46.905833333333334,Bajo,Adulto,0,0.49275667803625495,0.018263365370576778
46,3380.69,24,1,103,32.50663461538461,Alto,Adulto,1,0.6133381877642791,0.012110277986340501
18,932.7,17,2,87,10.598863636363637,Alto,Joven,1,0.09212773114969107,0.0027486161419406677
20,2752.09,27,2,89,30.57877777777778,Alto,Joven,1,0.47950067493623244,0.011286463285366494
53,1298.43,20,3,61,20.942419354838712,Bajo,Mayor,1,0.16999663596452008,0.007168640022863999
33,2733.53,11,1,74,36.44706666666667,Alto,Adulto,1,0.47554899781550614,0.013794109372941293
64,2687.27,9,4,65,40.71621212121212,Bajo,Mayor,0,0.4656996129230062,0.015618407068415795
53,3134.91,25,2,102,30.436019417475727,Alto,Mayor,0,0.5610082738239716,0.011225459566828053
22,2333.21,5,1,83,27.776309523809523,Alto,Joven,1,0.39031541026328903,0.010088908310538613
41,2274.54,27,4,75,29.92815789473684,Bajo,Adulto,1,0.37782376712357935,0.011008439412462906
32,2430.32,27,5,40,59.276097560975614,Bajo,Adulto,1,0.4109914536465719,0.023549445398342257
59,2543.45,23,1,47,52.98854166666666,Alto,Mayor,1,0.4350783735101368,0.020862637499599386
54,1175.45,28,1,6,167.92142857142858,Alto,Mayor,1,0.143812516766949,0.06997593264192035
64,2733.15,4,4,18,143.85,Alto,Mayor,1,0.47546809063307743,0.059689693361204194
51,1792.31,18,4,59,29.87183333333333,Bajo,Mayor,1,0.27515042348522595,0.010984370715656703
64,1505.06,6,1,43,34.20590909090909,Alto,Mayor,1,0.21399098097829558,0.012836414526471109
50,2956.3,13,3,23,123.17916666666667,Bajo,Mayor,0,0.5229797689461201,0.050856601583226205
43,2835.4,9,3,98,28.640404040404043,Bajo,Adulto,1,0.497238510115527,0.010458154486870493
42,2573.37,13,1,106,24.05018691588785,Alto,Adulto,1,0.4414487495582042,0.008496655959555947
35,2547.1,3,2,58,43.171186440677964,Alto,Adulto,1,0.43585550828872793,0.01666747040934323
61,2777.3,27,5,29,92.57666666666667,Bajo,Mayor,0,0.4848682277494603,0.03777949497719171
35,3406.11,4,2,106,31.832803738317757,Alto,Adulto,1,0.6187504524414807,0.011822335556348148
50,3022.96,7,1,53,55.98074074074074,Alto,Mayor,0,0.5371725920532114,0.02214126853556522
24,1852.82,14,2,75,24.379210526315788,Alto,Joven,0,0.2880338277188007,0.008637254826624603
31,1841.82,10,5,53,34.10777777777778,Bajo,Adulto,1,0.28569177770112886,0.012794480905256886
22,3372.71,11,1,94,35.50221052631579,Alto,Joven,1,0.6116391369332772,0.013390352017341758
30,2772.84,7,5,59,46.214000000000006,Bajo,Adulto,1,0.48391863292411336,0.0179677301037323
27,2926.5,5,4,89,32.516666666666666,Alto,Joven,0,0.5166349425346092,0.012114564897674302
45,3350.31,26,4,80,41.36185185185185,Bajo,Adulto,0,0.6068698714427454,0.015894302815059602
40,4649.94,12,3,19,232.49699999999999,Bajo,Adulto,0,0.8835788227579129,0.09757046353701139
53,3781.31,15,3,109,34.37554545454545,Bajo,Mayor,0,0.6986356494078871,0.012908903794064697
30,3388.43,15,3,98,34.226565656565654,Bajo,Adulto,1,0.6149861393221682,0.012845241521363862
45,2556.46,14,3,10,232.40545454545455,Bajo,Adulto,1,0.4378483799401287,0.09753134419485343
34,2774.46,9,1,65,42.03727272727273,Alto,Adulto,1,0.484263553017625,0.016182924685554496
56,3000.71,18,1,32,90.93060606060607,Alto,Mayor,1,0.5324352636083752,0.037076097868280734
46,2651.76,8,3,76,34.43844155844156,Bajo,Adulto,0,0.4581390496386856,0.012935780652352537
26,3570.51,15,4,66,53.29119402985075,Bajo,Joven,0,0.6537534545237761,0.020991967365392265
47,2096.98,11,1,62,33.28539682539682,Alto,Adulto,0,0.3400188215655966,0.012443059832303436
35,1813.64,17,4,29,60.45466666666667,Bajo,Adulto,0,0.2796918713831296,0.02405307333193267
52,2814.72,20,3,39,70.368,Bajo,Mayor,0,0.4928354560823039,0.02828925393224817
45,4345.87,21,4,102,42.19291262135922,Bajo,Adulto,1,0.8188381728603245,0.016249432960601336
33,2712.92,27,3,80,33.49283950617284,Bajo,Adulto,1,0.471160847736941,0.012531704552543599
52,1585.9,10,3,51,30.498076923076926,Bajo,Mayor,1,0.23120291947180388,0.011251978074023592
64,1746.99,29,3,118,14.680588235294119,Bajo,Mayor,1,0.26550117741241797,0.004492824873798761
23,500.0,26,2,106,4.672897196261682,Alto,Joven,1,0.0,0.00021632319590697866
22,2958.38,16,4,54,53.78872727272727,Bajo,Joven,0,0.523422629313098,0.021204574023578438
39,2747.04,26,1,75,36.14526315789474,Alto,Adulto,0,0.478425461064483,0.013665142240900255
20,3291.08,6,5,39,82.277,Bajo,Joven,1,0.5942589966657724,0.03337822583229767
27,2843.54,14,4,104,27.081333333333333,Bajo,Joven,0,0.4989716271286041,0.009791930033224247
50,1436.37,16,1,11,119.69749999999999,Alto,Mayor,1,0.19936594318612483,0.04936881051495803
32,3766.02,11,5,65,57.06090909090909,Bajo,Adulto,0,0.6953801998833233,0.022602847709411015
25,3618.12,15,3,66,54.00179104477612,Bajo,Joven,0,0.6638902728275357,0.021295620757046833
54,4234.54,4,4,83,50.41119047619048,Alto,Mayor,1,0.7951344975451058,0.019761279888977804
49,3554.18,26,2,117,30.120169491525424,Alto,Adulto,1,0.6502765748157232,0.011090490098544082
43,3486.91,18,2,12,268.2238461538461,Alto,Adulto,0,0.6359538743894702,0.11283731349538861
32,2332.59,25,5,104,22.215142857142858,Bajo,Adulto,0,0.3901834038077476,0.007712502155684419
27,2509.7,28,1,85,29.18255813953488,Alto,Joven,0,0.4278925382286437,0.010689828596869106
20,3928.41,12,1,87,44.64102272727273,Alto,Joven,1,0.7299552455532987,0.01729556307540703
20,4768.68,25,3,24,190.74720000000002,Bajo,Joven,1,0.9088601881304906,0.07972987582749032
30,3712.95,26,4,23,154.70624999999998,Bajo,Adulto,1,0.6840808731162465,0.06432880253828979
49,2486.81,10,1,95,25.90427083333333,Alto,Adulto,0,0.4230189450555066,0.009288945904657448
43,4835.59,24,4,30,155.9867741935484,Bajo,Adulto,1,0.9231062396470744,0.06487599807429628
38,1532.53,18,1,58,25.97508474576271,Alto,Adulto,1,0.21983971861333607,0.009319206212868521
62,2978.81,30,4,9,297.881,Bajo,Mayor,1,0.5277724549368286,0.12551045335251532
33,2438.47,17,5,46,51.88234042553191,Bajo,Adulto,1,0.4127266997960287,0.020389933911394275
54,2911.98,5,4,49,58.2396,Alto,Mayor,0,0.5135434365112823,0.02310652769221456
42,2397.01,12,5,39,59.925250000000005,Bajo,Adulto,0,0.4038993003657857,0.023826842200848238
56,2409.07,30,4,4,481.814,Bajo,Mayor,0,0.4064670388397059,0.20410898122990254
21,2173.99,24,1,15,135.874375,Alto,Joven,0,0.35641530082567907,0.05628153721792329
40,1262.89,8,2,22,54.90826086956522,Alto,Adulto,1,0.1624296852710604,0.021682974814196426
62,2234.85,29,1,78,28.28924050632911,Alto,Mayor,1,0.3693732248325434,0.01030809475412808
47,1889.48,20,2,30,60.950967741935486,Alto,Adulto,0,0.29583924168678705,0.02426515345839227
21,2443.75,1,5,33,71.875,Alto,Joven,0,0.41385088380451124,0.028933227452558406
51,2181.02,15,2,101,21.382549019607843,Alto,Mayor,1,0.3579120837006094,0.007356716897193356
53,2584.33,23,4,15,161.520625,Bajo,Mayor,0,0.4437822830303572,0.0672407315744305
62,2694.67,2,3,54,48.994,Alto,Mayor,1,0.4672751738439854,0.01915568391027673
38,3720.18,5,4,4,744.036,Alto,Adulto,1,0.6856202387187709,0.3161620830499361
62,1592.5,23,1,8,176.94444444444446,Alto,Mayor,1,0.23260814948240696,0.07383166143791316
64,2184.06,5,2,71,30.334166666666665,Alto,Mayor,1,0.3585593411600387,0.011181935695234296
26,3312.66,27,4,29,110.422,Bajo,Joven,0,0.5988536729731686,0.04540518981977715
33,2770.5,23,3,66,41.350746268656714,Bajo,Adulto,1,0.48342041501126315,0.015889557160444292
51,2470.98,18,5,59,41.183,Bajo,Mayor,1,0.4196485221664389,0.015817875571097397
37,1889.7,22,1,87,21.473863636363635,Alto,Adulto,1,0.29588608268714045,0.007395737597397741
19,2819.38,22,4,27,100.69214285714285,Bajo,Joven,0,0.4938276336352449,0.0412474125428021
46,2353.45,12,4,80,29.054938271604936,Bajo,Adulto,1,0.39462478229580517,0.010635293881797856
42,3718.05,30,1,108,34.1105504587156,Alto,Adulto,1,0.6851667326698945,0.012795665731470705
32,3209.55,24,2,47,66.86562500000001,Alto,Adulto,1,0.5769001477620648,0.026792613747645286
62,3236.72,9,4,118,27.199327731092435,Bajo,Mayor,0,0.5826850113057142,0.009842351577817356
43,2353.6,25,1,1,1176.8,Alto,Adulto,1,0.3946567193415007,0.5010914503648257
33,3090.63,27,5,55,55.18982142857143,Bajo,Adulto,0,0.5515804579346526,0.02180329169831305
50,2167.19,18,5,18,114.06263157894738,Bajo,Mayor,0,0.35496748808748196,0.046960910014898154
47,3772.31,18,5,65,57.15621212121212,Bajo,Adulto,0,0.6967194266661557,0.022643572744527454
27,2070.0,30,3,47,43.125,Bajo,Joven,0,0.33427441161316146,0.016647733949625917
53,3720.86,9,1,26,137.80962962962963,Alto,Mayor,1,0.6857650199925907,0.05710851315457842
21,2263.19,26,5,115,19.510258620689655,Bajo,Joven,0,0.37540719733261796,0.006556646930879885
21,3124.27,14,3,76,40.57493506493506,Bajo,Joven,0,0.558742872715969,0.015558036342954742
63,1640.75,19,4,29,54.69166666666667,Bajo,Mayor,1,0.2428812325144675,0.02159041945167528
58,2234.32,12,3,62,35.46539682539683,Bajo,Mayor,0,0.3692603806044193,0.013374620730960582
49,1766.83,11,1,41,42.06738095238095,Alto,Adulto,1,0.2697253839897461,0.016195790577865864
51,1469.88,4,2,15,91.8675,Alto,Mayor,1,0.20650067919450515,0.03747645280411938
25,2166.01,27,1,74,28.880133333333337,Alto,Joven,1,0.3547162499946772,0.010560595971070334
63,2196.32,18,1,52,41.440000000000005,Alto,Mayor,1,0.36116966236155296,0.015927697199975787
62,2107.31,20,1,27,75.26107142857143,Alto,Mayor,1,0.34221821944582836,0.03038016861903422
24,1884.94,12,4,17,104.7188888888889,Bajo,Joven,0,0.29487261377040247,0.04296812775014037
27,3050.25,27,2,91,33.15489130434783,Alto,Joven,0,0.5429830052334172,0.01238729201557494
46,2226.28,6,2,10,202.38909090909092,Alto,Adulto,1,0.36754855495513916,0.08470470626663763
25,3229.2,3,1,65,48.92727272727272,Alto,Joven,1,0.5810839007481785,0.019127169911126837
58,2325.57,14,2,102,22.578349514563108,Alto,Mayor,0,0.388688750069197,0.00786770817411775
18,2535.65,29,5,13,181.11785714285716,Bajo,Joven,0,0.4334176471339696,0.07561505046717944
46,2284.33,4,4,2,761.4433333333333,Alto,Adulto,1,0.3799081916393073,0.3236006110697638
41,3176.4,7,3,53,58.82222222222222,Bajo,Adulto,0,0.5698420606633537,0.023355494701806742
50,2912.42,29,2,119,24.270166666666668,Alto,Mayor,0,0.5136371185119892,0.008590658039520117
38,3454.79,15,1,31,107.9621875,Alto,Adulto,1,0.6291150883378684,0.04435405902022299
46,2605.27,21,2,93,27.71563829787234,Alto,Adulto,1,0.44824069460945254,0.010062982190466745
43,2476.16,8,3,42,57.585116279069766,Bajo,Adulto,0,0.4207514148111243,0.02282685271825757
51,2224.79,26,3,88,24.9976404494382,Bajo,Mayor,0,0.36723131363456357,0.008901523237147714
29,2345.6,5,4,51,45.107692307692304,Alto,Joven,1,0.3929534102377394,0.017494981026650893
20,1802.79,3,1,45,39.19108695652174,Alto,Joven,1,0.27738175841115326,0.014966688275304053
40,2488.86,11,4,45,54.10565217391304,Bajo,Adulto,1,0.42345541801334546,0.021340002851906622
45,2777.29,29,3,32,84.16030303030303,Bajo,Adulto,0,0.48486609861308055,0.034183001732918224
21,3362.83,4,2,14,224.18866666666665,Alto,Joven,1,0.6095355501901318,0.09402013396529436
49,3133.82,17,4,103,30.13288461538462,Bajo,Adulto,1,0.5607761979585841,0.011095923544511426
32,2108.31,26,2,13,150.59357142857144,Alto,Adulto,0,0.3424311330837986,0.06257136650806595
27,3293.93,24,3,70,46.39338028169014,Bajo,Joven,0,0.5948658005339874,0.018044383157132592
23,2984.45,13,2,37,78.53815789473684,Alto,Joven,1,0.5289732878549802,0.031780538166464596
54,3064.39,9,2,60,50.23590163934426,Alto,Mayor,0,0.5459936040743154,0.019686375197979167
39,2323.41,21,3,95,24.202187499999997,Bajo,Adulto,0,0.38822885661118134,0.008561609079157748
57,1027.79,14,2,13,73.41357142857143,Alto,Mayor,1,0.11237368898427419,0.02959069212349795
44,1935.29,30,2,105,18.25745283018868,Alto,Adulto,1,0.30559281544220035,0.006021296064805591
24,1951.14,24,2,76,25.33948051948052,Alto,Joven,1,0.3089674966040275,0.009047598853131954
61,3968.75,28,5,81,48.39939024390244,Bajo,Mayor,1,0.7385441817090153,0.018901594369570052
20,3226.35,29,5,45,70.13804347826087,Bajo,Joven,0,0.5804770968799635,0.028190988563420935
30,1161.78,17,2,57,20.030689655172413,Alto,Adulto,1,0.14090198733589682,0.006779038308022923
57,2886.65,5,3,21,131.21136363636364,Alto,Mayor,1,0.508150334061498,0.05428893214619964
44,1402.91,18,1,23,58.45458333333334,Alto,Adulto,1,0.1922418528596431,0.02319839469551562
58,3717.64,11,5,111,33.193214285714284,Bajo,Mayor,0,0.6850794380783267,0.012403668249960701
54,2445.83,9,3,45,53.17021739130435,Bajo,Mayor,1,0.4142937441714892,0.020940271445153362
54,1363.86,23,5,14,90.92399999999999,Bajo,Mayor,1,0.18392757529690806,0.03707327495646662
63,3909.54,12,3,101,38.328823529411764,Bajo,Mayor,1,0.7259375652048017,0.014598224562901413
54,2282.22,29,1,21,103.73727272727272,Alto,Mayor,1,0.3794589438631902,0.042548662046630485
50,3315.04,2,4,15,207.19,Alto,Mayor,1,0.5993604074315376,0.08675623800383878
49,2659.34,15,2,32,80.58606060606061,Alto,Adulto,1,0.4597529350144995,0.03265565105184219
37,2427.31,26,2,90,26.673736263736263,Alto,Adulto,0,0.4103505835962817,0.009617755036690365
61,3403.67,21,4,55,60.77982142857143,Bajo,Mayor,1,0.6182309431648335,0.02419201895679627
44,1142.6,7,5,120,9.44297520661157,Bajo,Adulto,0,0.136818303759629,0.0022546801491116638
48,3149.78,15,2,58,53.386101694915254,Alto,Adulto,1,0.564174299620588,0.02103252345243673
23,2727.42,25,2,56,47.84947368421053,Alto,Joven,1,0.4742480954875084,0.01866660319317875
64,1263.68,27,1,16,74.33411764705883,Alto,Mayor,1,0.16259788704505682,0.029984061326502335
27,1985.6,28,4,13,141.82857142857142,Bajo,Joven,0,0.3163045005684794,0.058825893445345834
60,4628.72,24,5,67,68.06941176470589,Bajo,Mayor,1,0.8790607953601861,0.027307017729443904
31,3112.52,11,5,40,75.91512195121952,Bajo,Adulto,0,0.5562411374698195,0.030659658478045793
50,2395.03,7,1,43,54.432500000000005,Alto,Mayor,0,0.4034777313626048,0.02147967195951841
48,3145.34,29,1,98,31.77111111111111,Alto,Adulto,1,0.5632289630680004,0.011795972969540285
46,2082.63,29,2,110,18.762432432432433,Alto,Adulto,1,0.33696351086072474,0.006237084712543994
53,1190.75,26,4,49,23.815,Bajo,Mayor,1,0.14707009542789254,0.008396155530786735
24,2230.29,28,3,40,54.39731707317073,Bajo,Joven,0,0.3684023386433995,0.02146463753798884
63,1988.51,27,2,98,20.085959595959597,Alto,Mayor,0,0.3169240792549726,0.006802656342751564
46,1985.69,1,4,44,44.126444444444445,Alto,Adulto,1,0.31632366279589674,0.01707567270495705
51,2383.66,15,4,66,35.577014925373135,Bajo,Mayor,1,0.4010569032988839,0.01342231754633688
37,3214.91,12,1,110,28.96315315315315,Alto,Adulto,1,0.5780413648615849,0.010596072126096803
20,3109.79,16,4,81,37.924268292682925,Bajo,Joven,0,0.555659883238161,0.014425349406991519
56,2648.7,11,3,14,176.57999999999998,Bajo,Mayor,0,0.4574875339064968,0.07367592648645568
27,1226.01,20,2,95,12.7709375,Alto,Joven,1,0.15457743030272061,0.003676790032013504
60,1396.95,3,3,42,32.48720930232558,Alto,Mayor,1,0.1909728875773409,0.012101977132170792
58,2005.84,9,2,106,18.746168224299065,Alto,Mayor,1,0.3206138726009956,0.006230134666514331
59,2035.49,2,2,87,23.13056818181818,Alto,Mayor,1,0.32692676196681103,0.008103683090596368
61,2463.97,19,3,102,23.922038834951454,Bajo,Mayor,1,0.41815599756426797,0.00844189552770352
56,1579.68,2,4,46,33.61021276595745,Alto,Mayor,1,0.22987859664362945,0.012581860671517574
45,3048.06,21,5,76,39.5851948051948,Bajo,Adulto,0,0.5425167243662625,0.015135099037541537
26,4062.81,7,2,92,43.686129032258066,Alto,Joven,1,0.7585708384964891,0.01688751645676029
20,2695.67,7,5,12,207.35923076923078,Bajo,Joven,1,0.4674880874819556,0.08682855395221725
45,2224.28,12,2,119,18.535666666666668,Alto,Adulto,1,0.36712272767919885,0.0061401828223873745
46,2790.63,11,5,61,45.010161290322586,Bajo,Adulto,0,0.4877063665436026,0.017453303924729845
61,2184.63,23,2,29,72.821,Alto,Mayor,0,0.3586807019336817,0.029337473603994028
34,2038.2,19,2,19,101.91,Alto,Adulto,1,0.3275037579257102,0.04176782909988284
56,3101.79,9,2,36,83.83216216216216,Alto,Mayor,1,0.5539565741343996,0.0340427800806194
21,1603.53,14,2,19,80.1765,Alto,Joven,1,0.2349565869092179,0.032480636993935594
26,3094.75,13,1,101,30.340686274509803,Alto,Joven,0,0.5524576621230897,0.01118472166392294
62,3377.13,23,2,79,42.214125,Alto,Mayor,1,0.6125802152131054,0.01625849746633953
53,2534.27,23,5,104,24.13590476190476,Bajo,Mayor,0,0.4331238263135707,0.008533285039219466
59,3158.41,26,2,100,31.27138613861386,Alto,Mayor,0,0.5660117443162704,0.011582429738136177
28,1915.53,6,4,4,383.106,Bajo,Joven,1,0.30138564195590983,0.16192892931033867
61,2717.27,9,5,100,26.903663366336634,Bajo,Mayor,1,0.4720870220621112,0.00971600783408671
30,3756.46,19,1,66,56.066567164179105,Alto,Adulto,1,0.6933447455043286,0.022177944012696765
30,1891.44,29,5,13,135.10285714285715,Bajo,Adulto,1,0.29625655241720855,0.05595185103979025
41,2900.51,19,4,117,24.580593220338987,Bajo,Adulto,0,0.5111013170837646,0.00872330998415591
43,2861.0,22,5,29,95.36666666666666,Bajo,Adulto,1,0.5026890992475632,0.038971721998867594
57,3082.39,23,3,13,220.17071428571427,Bajo,Mayor,0,0.5498260495577784,0.09230317647411933
25,1394.44,25,5,64,21.452923076923078,Bajo,Joven,1,0.19043847434603578,0.007386789245851489
49,2503.35,11,3,60,41.03852459016393,Bajo,Adulto,0,0.42654053662753316,0.015756138120353938
21,3057.03,7,4,4,611.4060000000001,Bajo,Joven,1,0.544426559698855,0.2594864307614514
37,1886.15,6,5,114,16.401304347826088,Bajo,Adulto,0,0.2951302392723464,0.005228123886699726
56,2005.18,28,1,76,26.041298701298704,Alto,Mayor,1,0.3204733495999353,0.00934750086053951
27,2918.06,1,5,15,182.37875,Alto,Joven,1,0.5148379514301409,0.07615385711080803
43,3094.8,25,4,110,27.88108108108108,Bajo,Adulto,1,0.5524683078049882,0.010133679450926502
21,2225.52,20,3,3,556.38,Bajo,Joven,1,0.36738674059028176,0.23597263717910827
35,2446.44,21,5,118,20.55831932773109,Bajo,Adulto,1,0.414423621490651,0.007004505818081152
18,2670.4,1,5,54,48.552727272727275,Alto,Joven,0,0.4621077598504495,0.018967118580748715
51,3665.76,28,3,1,1832.88,Bajo,Mayor,1,0.6740334785404345,0.781448548709311
56,1761.51,3,2,21,80.06863636363636,Alto,Mayor,1,0.26859268343574483,0.03243454454163131
48,3472.38,13,3,53,64.30333333333334,Bajo,Adulto,1,0.6328602392297636,0.025697691395525236
21,1679.04,13,4,108,15.404036697247706,Bajo,Joven,0,0.2510336957123452,0.004801969965243537
41,2465.77,14,3,102,23.939514563106798,Bajo,Adulto,0,0.4185392421126143,0.00844936328230218
22,1484.19,28,1,56,26.03842105263158,Alto,Joven,1,0.20954747335385823,0.009346271179356772
43,2720.73,8,1,48,55.52510204081633,Alto,Adulto,1,0.47282370324948797,0.021946564316865882
28,3270.29,25,2,99,32.7029,Alto,Joven,0,0.5898325221323727,0.012194146407472429
35,1255.83,15,2,51,24.150576923076922,Alto,Adulto,1,0.16092651498699098,0.008539554769332668
49,2335.1,18,3,15,145.94375,Bajo,Adulto,0,0.3907178170390526,0.06058439777935254
53,3774.28,10,4,10,343.11636363636364,Bajo,Mayor,0,0.697138866532957,0.14484049738929217
40,2001.62,4,4,95,20.85020833333333,Alto,Adulto,1,0.31971537704876146,0.00712923626962563
29,4784.79,15,1,20,227.84714285714284,Alto,Joven,1,0.9122902268381899,0.09558347954681536
45,2149.15,21,4,55,38.377678571428575,Bajo,Adulto,1,0.3511265260585002,0.014619101373380823
38,4606.04,30,1,78,58.30430379746836,Alto,Adulto,1,0.8742319140510226,0.023134177016854995
63,1499.01,23,1,85,17.4303488372093,Alto,Mayor,1,0.2127028534685761,0.005667856734996977
38,500.7,30,3,105,4.723584905660378,Bajo,Adulto,1,0.00014903954657911417,0.0002379831445851074
36,3787.09,17,3,113,33.22008771929825,Bajo,Adulto,0,0.6998662902353548,0.012415151846263215
44,1089.38,7,2,51,20.949615384615388,Alto,Adulto,1,0.12548703994685678,0.0071717150411968085
30,1972.12,19,3,95,20.542916666666667,Bajo,Adulto,0,0.3134344247286416,0.006997923929648635
37,1953.14,26,4,48,39.86,Bajo,Adulto,0,0.3093933238799678,0.015252529209205931
61,1084.33,11,2,92,11.659462365591397,Alto,Mayor,1,0.12441182607510741,0.0032018327957544454
46,1043.5,19,5,82,12.572289156626505,Bajo,Adulto,1,0.11571856223678552,0.0035919033213392994
45,2580.68,24,2,80,31.860246913580244,Alto,Adulto,1,0.4430051482517661,0.011834062615526832
62,1969.94,25,4,97,20.10142857142857,Bajo,Mayor,1,0.3129702729978666,0.006809266568755776
39,2552.37,18,4,68,36.99086956521739,Bajo,Adulto,0,0.4369775631608307,0.014026488050402882
33,3102.78,26,2,36,83.85891891891893,Alto,Adulto,1,0.5541673586359901,0.03405421381840357
27,1951.87,11,1,82,23.516506024096383,Alto,Joven,1,0.3091229235597457,0.008268602633338791
31,1270.32,26,5,117,10.765423728813559,Bajo,Adulto,1,0.16401163360117868,0.002819790852676019
23,2194.07,8,4,49,43.881400000000006,Bajo,Joven,0,0.3606906066761201,0.01697095994216916
